,Name,Status,Number,Corporation_Type,Date
0,*AAA* MarketChina Inc.,Active,3942D,Company,2003-07-21
1,AAA ALARM SYSTEMS LTD.,Active,60412,Company,2009-06-23
2,AAA Auto Service Ltd.,Dissolved - Involuntary,47473,Company,2003-03-03
3,AAA CLEANERS LIMITED,Dissolved - Involuntary,53541,Company,2006-03-24
4,AAA CREDIT & RECOVERY SERVICES INC.,Cancelled - Involuntary,50612,Company,2004-11-10
5,AAA DRIVEWAY AND PARKING LOT SEALING AND REPAIR INC.,Active,69905,Company,2013-04-10
6,AAA Electric Incorporated,Active,94427,Company,2024-01-12
7,AAA PLATINUM CONTRACTING INC.,Dissolved - Voluntary,61492,Company,2009-12-21
8,AAA Rental Properties Ltd.,Active,70303,Company,2013-06-03
9,AAA TOWING LTD.,Dissolved (Prior To June 2004),41374,Company,1999-03-08
